iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
4,32,4,0,0.000000,0,0,5,32,2136,0.307120,1,5,32,2136,0.307120
4,32,4,16,0.500000,16,16,17,320,3960,1.750199,11,73,664,26744,5.091963
4,32,4,32,1.000000,32,31,31,424,5768,2.550076,28,208,1456,70016,12.576354
4,32,4,48,1.500000,32,31,31,472,5768,2.782314,23,182,1340,59216,11.261532
4,32,4,64,2.000000,32,31,31,520,5768,3.028772,23,182,1388,59216,11.516621
5,32,4,0,0.000000,0,0,5,32,2136,0.304000,1,5,32,2136,0.304000
5,32,4,16,0.500000,16,15,16,316,3808,1.695267,9,63,600,22344,4.450781
5,32,4,32,1.000000,32,31,31,424,5768,2.531486,27,243,1584,72680,13.869609
5,32,4,48,1.500000,32,31,31,472,5768,2.756424,27,208,1492,68480,12.674048
5,32,4,64,2.000000,32,31,31,520,5768,3.031773,27,208,1540,68480,12.974468
6,32,4,0,0.000000,0,0,5,32,2136,0.304300,1,5,32,2136,0.304300
6,32,4,16,0.500000,16,17,19,328,4200,1.828692,14,106,832,35248,6.754089
6,32,4,32,1.000000,32,31,31,424,5768,2.530326,26,218,1472,68144,12.754453
6,32,4,48,1.500000,32,31,31,472,5768,2.752013,27,215,1520,69320,12.969398
6,32,4,64,2.000000,32,31,31,520,5768,3.037394,27,215,1568,69320,13.277874
7,32,4,0,0.000000,0,0,5,32,2136,0.312501,1,5,32,2136,0.312501
7,32,4,16,0.500000,16,17,17,320,3960,1.742839,6,54,528,16752,3.790268
7,32,4,32,1.000000,32,31,31,424,5768,2.537736,23,231,1488,65096,12.989969
7,32,4,48,1.500000,32,31,31,472,5768,2.776784,29,238,1636,75152,14.149670
7,32,4,64,2.000000,32,31,31,520,5768,3.017583,29,238,1684,75152,14.434208
8,32,4,0,0.000000,0,0,5,32,2136,0.312680,1,5,32,2136,0.312680
8,32,4,16,0.500000,16,15,17,320,3960,1.752409,14,93,780,33688,6.224822
8,32,4,32,1.000000,32,31,31,424,5768,2.543556,23,183,1296,59336,11.038193
8,32,4,48,1.500000,32,31,31,472,5768,2.799095,28,304,1888,81536,16.714639
8,32,4,64,2.000000,32,31,31,520,5768,3.008493,28,304,1936,81536,16.955668
9,32,4,0,0.000000,0,0,5,32,2136,0.313751,1,5,32,2136,0.313751
9,32,4,16,0.500000,16,16,16,316,3968,1.702088,12,93,756,30616,5.976453
9,32,4,32,1.000000,32,31,31,424,5768,2.549046,27,187,1360,65960,11.620762
9,32,4,48,1.500000,32,31,31,472,5768,2.744673,26,194,1424,65264,12.013507
9,32,4,64,2.000000,32,31,31,520,5768,3.044244,26,194,1472,65264,12.317450
10,32,4,0,0.000000,0,0,5,32,2136,0.304000,1,5,32,2136,0.304000
10,32,4,16,0.500000,16,17,17,320,4056,1.761070,7,63,576,19400,4.278394
10,32,4,32,1.000000,32,31,31,424,5768,2.547527,24,181,1300,60632,11.084155
10,32,4,48,1.500000,32,31,31,472,5768,2.780314,25,229,1552,67928,13.377023
10,32,4,64,2.000000,32,31,31,520,5768,3.045053,25,229,1600,67928,13.653382
11,32,4,0,0.000000,0,0,5,32,2136,0.304041,1,5,32,2136,0.304041
11,32,4,16,0.500000,16,16,18,324,3984,1.786600,15,116,884,37952,7.232775
11,32,4,32,1.000000,32,31,31,424,5768,2.547326,25,182,1316,62288,11.227402
11,32,4,48,1.500000,32,31,31,472,5768,2.786554,30,256,1720,78848,14.973540
11,32,4,64,2.000000,32,31,31,520,5768,3.025072,30,256,1768,78848,15.256637
12,32,4,0,0.000000,0,0,5,32,2136,0.307150,1,5,32,2136,0.307150
12,32,4,16,0.500000,16,15,17,320,3864,1.741039,13,101,800,33048,6.415245
12,32,4,32,1.000000,32,31,31,424,5768,2.535746,23,177,1272,58616,10.772727
12,32,4,48,1.500000,32,31,31,472,5768,2.772524,23,237,1560,65816,13.428465
12,32,4,64,2.000000,32,31,31,520,5768,3.046123,23,237,1608,65816,13.733793
13,32,4,0,0.000000,0,0,5,32,2136,0.303790,1,5,32,2136,0.303790
13,32,4,16,0.500000,16,16,17,320,3992,1.733839,9,77,656,24152,5.026061
13,32,4,32,1.000000,32,31,31,424,5768,2.540406,27,213,1464,69080,12.661698
13,32,4,48,1.500000,32,31,31,472,5768,2.765573,26,199,1444,65864,12.225465
13,32,4,64,2.000000,32,31,31,520,5768,3.037583,26,199,1492,65864,12.501516
14,32,4,0,0.000000,0,0,5,32,2136,0.308361,1,5,32,2136,0.308361
14,32,4,16,0.500000,16,17,17,320,4056,1.745619,10,74,656,25328,5.002717
14,32,4,32,1.000000,32,31,31,424,5768,2.527456,23,182,1292,59216,10.973202
14,32,4,48,1.500000,32,31,31,472,5768,2.776614,25,188,1388,63008,11.692325
14,32,4,64,2.000000,32,31,31,520,5768,3.012202,25,188,1436,63008,11.925603
0,64,4,0,0.000000,0,0,6,37,2492,0.368513,1,6,37,2492,0.368513
0,64,4,32,0.500000,32,35,36,637,6604,4.459191,26,243,1790,77376,15.972532
0,64,4,64,1.000000,64,63,63,841,9940,6.353385,56,522,3392,165968,31.835372
0,64,4,96,1.500000,64,63,63,937,9940,6.816921,57,513,3465,166660,32.063138
0,64,4,128,2.000000,64,63,63,1033,9940,7.417672,57,513,3561,166660,32.663806
1,64,4,0,0.000000,0,0,6,37,2492,0.370493,1,6,37,2492,0.370493
1,64,4,32,0.500000,32,35,35,633,6452,4.336398,30,294,2046,90552,18.428656
1,64,4,64,1.000000,64,63,63,841,9940,6.083657,50,548,3418,158456,31.876534
1,64,4,96,1.500000,64,63,63,937,9940,6.754679,57,552,3621,171340,33.565307
1,64,4,128,2.000000,64,63,63,1033,9940,7.405441,57,552,3717,171340,34.261640
2,64,4,0,0.000000,0,0,6,37,2492,0.362392,1,6,37,2492,0.362392
2,64,4,32,0.500000,32,37,37,641,6692,4.402189,25,243,1777,75572,15.744754
2,64,4,64,1.000000,64,63,63,841,9940,6.032725,57,515,3377,166900,31.353834
2,64,4,96,1.500000,64,63,63,937,9940,6.737759,50,505,3342,153296,30.782598
2,64,4,128,2.000000,64,63,63,1033,9940,7.382791,50,505,3438,153296,31.441510
3,64,4,0,0.000000,0,0,6,37,2492,0.362152,1,6,37,2492,0.362152
3,64,4,32,0.500000,32,35,35,633,6484,4.310916,26,231,1742,75968,15.387154
3,64,4,64,1.000000,64,63,63,841,9940,6.082846,54,510,3318,160984,30.821723
3,64,4,96,1.500000,64,63,63,937,9940,6.783100,55,535,3527,165756,32.623258
3,64,4,128,2.000000,64,63,63,1033,9940,7.297457,55,535,3623,165756,33.212958
4,64,4,0,0.000000,0,0,6,37,2492,0.361962,1,6,37,2492,0.361962
4,64,4,32,0.500000,32,32,33,625,6212,4.389859,23,206,1603,67492,14.171771
4,64,4,64,1.000000,64,63,63,841,9940,6.136248,51,529,3355,157948,31.234555
4,64,4,96,1.500000,64,63,63,937,9940,6.726038,55,486,3331,159876,30.606117
4,64,4,128,2.000000,64,63,63,1033,9940,7.331938,55,486,3427,159876,31.244389
5,64,4,0,0.000000,0,0,6,37,2492,0.362372,1,6,37,2492,0.362372
5,64,4,32,0.500000,32,34,34,629,6428,4.269415,21,216,1617,65244,14.143398
5,64,4,64,1.000000,64,63,63,841,9940,6.078086,59,608,3775,181604,35.370023
5,64,4,96,1.500000,64,63,63,937,9940,6.715837,54,665,4034,179584,37.734069
5,64,4,128,2.000000,64,63,63,1033,9940,7.301377,54,665,4130,179584,38.389101
6,64,4,0,0.000000,0,0,6,37,2492,0.365812,1,6,37,2492,0.365812
6,64,4,32,0.500000,32,33,34,629,6364,4.276865,26,315,2078,85856,18.786880
6,64,4,64,1.000000,64,63,63,841,9940,6.114727,54,585,3618,169984,33.882355
6,64,4,96,1.500000,64,63,63,937,9940,6.740898,56,597,3788,174968,35.258137
6,64,4,128,2.000000,64,63,63,1033,9940,7.421451,56,597,3884,174968,35.987493
7,64,4,0,0.000000,0,0,6,37,2492,0.369372,1,6,37,2492,0.369372
7,64,4,32,0.500000,32,35,35,633,6452,4.315937,25,260,1845,77612,16.430821
7,64,4,64,1.000000,64,63,63,841,9940,6.018954,52,516,3316,158160,30.710274
7,64,4,96,1.500000,64,63,63,937,9940,6.787260,55,561,3631,168876,33.636512
7,64,4,128,2.000000,64,63,63,1033,9940,7.425292,55,561,3727,168876,34.298032
8,64,4,0,0.000000,0,0,6,37,2492,0.366882,1,6,37,2492,0.366882
8,64,4,32,0.500000,32,34,35,633,6484,4.315416,22,246,1750,70584,15.475965
8,64,4,64,1.000000,64,63,63,841,9940,6.087596,60,694,4132,193696,38.922311
8,64,4,96,1.500000,64,63,63,937,9940,6.731719,55,525,3487,164556,32.144743
8,64,4,128,2.000000,64,63,63,1033,9940,7.292917,55,525,3583,164556,32.783421
9,64,4,0,0.000000,0,0,6,37,2492,0.362062,1,6,37,2492,0.362062
9,64,4,32,0.500000,32,34,34,629,6428,4.245014,26,282,1946,82024,17.393952
9,64,4,64,1.000000,64,63,63,841,9940,6.123257,53,460,3105,153212,28.679021
9,64,4,96,1.500000,64,63,63,937,9940,6.711718,49,518,3381,153084,31.153999
9,64,4,128,2.000000,64,63,63,1033,9940,7.396921,49,518,3477,153084,31.874979
10,64,4,0,0.000000,0,0,6,37,2492,0.370232,1,6,37,2492,0.370232
10,64,4,32,0.500000,32,35,36,637,6572,4.345528,25,241,1769,75364,15.634220
10,64,4,64,1.000000,64,63,63,841,9940,6.103587,58,584,3666,176952,34.300624
10,64,4,96,1.500000,64,63,63,937,9940,6.588003,54,551,3578,165904,33.025328
10,64,4,128,2.000000,64,63,63,1033,9940,7.435602,54,551,3674,165904,33.892756
11,64,4,0,0.000000,0,0,6,37,2492,0.366213,1,6,37,2492,0.366213
11,64,4,32,0.500000,32,34,35,633,6452,4.275775,23,256,1803,73684,15.975330
11,64,4,64,1.000000,64,63,63,841,9940,6.094827,59,836,4687,208964,44.618201
11,64,4,96,1.500000,64,63,63,937,9940,6.655426,59,561,3683,175964,34.046004
11,64,4,128,2.000000,64,63,63,1033,9940,7.412851,59,561,3779,175964,34.857332
12,64,4,0,0.000000,0,0,6,37,2492,0.365193,1,6,37,2492,0.365193
12,64,4,32,0.500000,32,34,34,629,6428,4.234843,23,273,1871,75628,16.664604
12,64,4,64,1.000000,64,63,63,841,9940,6.098467,54,588,3630,170344,33.963697
12,64,4,96,1.500000,64,63,63,937,9940,6.666696,44,459,3080,137144,28.115332
12,64,4,128,2.000000,64,63,63,1033,9940,7.383551,44,459,3176,137144,28.839763
13,64,4,0,0.000000,0,0,6,37,2492,0.371942,1,6,37,2492,0.371942
13,64,4,32,0.500000,32,36,37,641,6756,4.357418,26,235,1758,76384,15.499838
13,64,4,64,1.000000,64,63,63,841,9940,5.997294,58,508,3362,167832,31.109766
13,64,4,96,1.500000,64,63,63,937,9940,6.726388,51,534,3471,158548,32.060946
13,64,4,128,2.000000,64,63,63,1033,9940,7.305057,51,534,3567,158548,32.660407
14,64,4,0,0.000000,0,0,6,37,2492,0.366612,1,6,37,2492,0.366612
